tag;nome;preco;disponivel;acabamentos;tamanhos
ANL-001;Anel Regulável Nara;58.99;sim;Dourado,Prata;15,16,17
CHK-001;Choker Trevinho Mini;69.99;sim;Dourado,Prata;28,30,32
CHK-002;Choker Trevinho Mini;69.99;sim;Dourado,Prata;28,30,32
